date,day_of_week,entry_time,entry_hour,direction,fvg_type,entry_price,stop_price,target_price,exit_price,outcome,pnl,fc_bullish,fc_range_pct,fc_body_ratio,fvg_size_pct,risk_pct,max_favorable_r,max_adverse_r,time_in_trade_min,aligned_with_fc,aligned_with_day,day_bullish,day_range_pct,fc_range_bucket,fc_body_bucket
2023-05-08,Monday,11:10,11,LONG,bullish,171.26,170.9,173.27,170.9,LOSS,-1000.0,False,1.607,0.95,0.006,0.213,0.67,1.08,12,False,True,True,3.082,1.5-2%,>70%
2023-05-09,Tuesday,10:02,10,LONG,bullish,169.38,169.06,171.15,169.06,LOSS,-1000.0,True,0.899,0.105,0.183,0.189,0.03,1.03,1,True,False,False,2.988,0.5-1%,<30%
2023-05-10,Wednesday,10:39,10,SHORT,bearish,172.36,172.79,169.99,169.99,WIN,5500.0,True,1.244,0.393,0.087,0.249,5.67,0.35,15,False,False,True,4.602,1-1.5%,30-50%
2023-05-11,Thursday,10:42,10,LONG,bullish,167.97,167.73,169.29,167.73,LOSS,-1000.0,False,1.186,0.683,0.05,0.143,0.25,2.0,1,False,True,True,4.797,1-1.5%,50-70%
2023-05-12,Friday,09:53,9,LONG,bullish,177.13,176.62,179.97,176.62,LOSS,-1000.0,False,1.212,0.0,0.136,0.291,0.48,1.16,2,False,False,False,5.875,1-1.5%,
2023-05-15,Monday,10:06,10,SHORT,bearish,165.6,166.44,161.01,166.44,LOSS,-1000.0,True,1.281,0.493,0.42,0.504,0.54,1.23,16,False,True,False,3.198,1-1.5%,30-50%
2023-05-16,Tuesday,10:06,10,LONG,bullish,165.44,164.91,168.36,164.91,LOSS,-1000.0,True,1.09,0.47,0.133,0.32,0.34,1.25,5,True,True,True,3.099,1-1.5%,30-50%
2023-05-17,Wednesday,09:45,9,LONG,bullish,169.94,169.2,174.0,174.0,WIN,5500.0,False,0.766,0.778,0.789,0.435,5.63,0.74,232,False,True,True,4.333,0.5-1%,>70%
2023-05-18,Thursday,09:49,9,SHORT,bearish,173.43,174.14,169.52,174.14,LOSS,-1000.0,False,0.896,0.173,0.08,0.41,1.38,1.34,27,True,False,True,3.761,0.5-1%,<30%
2023-05-19,Friday,10:08,10,LONG,bullish,179.39,179.05,181.26,181.26,WIN,5500.0,True,1.195,0.543,0.19,0.19,5.55,0.32,21,True,True,True,3.165,1-1.5%,50-70%
